id,x,y,z,AG,AHP6,ANT,AP1,AP2,AP3,AS1,CLV3,CUC1_2_3,ETTIN,FIL,LFY,MP,PHB_PHV,PI,PUCHI,REV,SEP1,SEP2,SEP3,STM,SUP,SVP,WUS,vol,curv1,curv2,mean_curv,gauss_curv,dev_curv,dist_to_center,gene_PC1_value,gene_PC2_value,shape_PC1_value,shape_PC2_value,gene_cluster_gmm,gene_cluster_kmeans,shape_cluster_gmm,shape_cluster_kmeans
55,83.79940805453853,82.46672678722948,6.616231930068161,4.06557e-07,6.2056e-07,0.988272,1.0,1.0,0.0117277,0.988272,1.98829e-14,0.0117276,0.908977,0.908977,0.988272,0.0910233,0.0792953,1.75346e-06,0.0,0.0792952,1.0,1.0,4.06557e-07,0.0117277,1.94016e-10,0.0,0.0,267.37009914235574,0.0721849350059752,0.0240337616448333,0.0481093483254042,0.0017348755222813,0.0240755866805709,49.67667573644692,3.662563641276465,-0.11297046646599539,3.0708139100683276,0.6168415249263434,3,3,1,1
71,45.99416592475296,94.82203584426162,11.33251179050906,7.3701e-07,0.00412211,0.999997,0.999999,0.999999,2.86718e-06,0.999997,1.0049e-15,2.85386e-06,0.991371,0.991371,0.999997,0.00920102,0.00862653,7.50693e-07,0.0,0.00862652,1.0,1.0,7.3701e-07,2.86739e-06,2.05764e-10,0.0,0.0,595.1193238309952,0.0364337740204808,0.0209223110948696,0.0286780425576752,0.0007622787544166,0.0077557314628055,50.79304258145339,3.8289034911439788,-0.10086180433614735,3.5479467864592493,0.18861137871385553,3,3,1,1
73,93.13969698741543,66.19877934137844,8.166336619320116,7.67923e-07,0.000127944,0.913594,0.999999,0.999999,0.0864056,0.913594,6.05828e-16,0.0864055,0.759835,0.759835,0.913594,0.240285,0.15376,2.45209e-06,0.0,0.15376,1.0,1.0,7.67923e-07,0.0864056,3.26814e-11,0.0,0.0,177.32383906608368,0.0942697009807274,0.0057077666508964,0.0499887338158119,0.0005380694554477,0.0442809671649155,47.962991017149726,3.1926978442981446,0.13660909543121325,2.215709000644853,2.190124697166539,3,3,1,1
89,78.78477849233614,91.61545407540608,10.146095057514836,1.018e-06,0.000596482,0.999157,0.999999,0.999999,0.000843432,0.999157,5.79402e-14,0.000843391,0.981095,0.981095,0.999157,0.0193544,0.0180615,2.2058e-06,0.0,0.0180615,1.0,1.0,1.018e-06,0.000843432,4.41804e-10,0.0,0.0,275.4271874266602,0.0416946807513068,0.0273006537741534,0.0344976672627301,0.0011382920434152,0.0071970134885767,50.914484892603326,3.808240652832983,-0.1046990026621757,2.396434523763881,-0.4786966929910908,3,3,1,1
90,89.3078922032153,70.8518716280289,8.870181053390713,4.23355e-07,3.35723e-06,0.161864,1.0,1.0,0.838136,0.161864,7.11541e-15,0.838136,0.0755882,0.0755881,0.161864,0.924415,0.0862762,2.47247e-06,0.0,0.0862762,1.0,1.0,4.23355e-07,0.838136,8.88672e-11,0.0,0.0,97.13770482088464,0.076153861576435,-0.0307863255986257,0.0226837679889046,-0.0023444975780847,0.0534700935875303,46.1626663235415,-0.28673443289597184,3.375856119563885,-0.41740472574273946,3.351321477230996,1,1,1,2
92,87.9543768050123,73.57280379200881,8.260103553610746,4.10473e-07,9.37014e-08,0.0912201,1.0,1.0,0.90878,0.0912201,1.91857e-14,0.90878,0.0115764,0.0115763,0.0912201,0.988424,0.0796438,2.3068e-06,0.0,0.0796437,1.0,1.0,4.10473e-07,0.90878,1.93066e-10,0.0,0.0,58.2479200778231,0.0861323473120716,-0.0278838516134539,0.0291242478493088,-0.0024017015915682,0.0570080994627627,46.70228182160741,-0.6132699836915827,3.680521339509931,-0.3279222205227189,3.5663286452372387,1,1,1,2
100,33.8833284617803,83.31951209712413,10.592845193872362,1.01502e-07,6.34887e-06,0.999594,1.0,1.0,0.000405953,0.999594,1.06956e-16,0.00040595,0.984042,0.984042,0.999594,0.0159584,0.0155521,1.55223e-07,0.0,0.0155521,1.0,1.0,1.01502e-07,0.000405953,5.62707e-11,0.0,0.0,322.26467114679554,0.0266802261503812,0.0132881125159199,0.0199841693331505,0.0003545298470364,0.0066960568172306,48.3370334883593,3.814078314104366,-0.1041724800498303,1.634461709589545,-0.3448286672481234,3,3,1,1
104,59.66488684858528,99.0469964290652,10.457392688132382,8.55235e-09,0.000977721,1.0,1.0,1.0,1.80285e-08,1.0,3.1628e-17,1.79919e-08,0.999935,0.999935,1.0,0.00098492,6.48312e-05,8.55958e-09,0.0,6.48312e-05,1.0,1.0,8.55235e-09,1.80288e-08,2.71743e-13,0.0,0.0,270.22553726558533,0.0298299125638435,0.0223405218207659,0.0260852171923047,0.000666415812544,0.0037446953715388,52.85554684151728,3.8397455240707683,-0.09234548301186674,1.9148224979472408,-0.5430094682784017,3,3,1,1
108,83.87329450903185,85.86865356523649,11.787786118178882,7.59109e-06,2.92254e-05,0.982301,0.999992,0.999992,0.0177001,0.9823,6.47163e-13,0.0176995,0.841397,0.841397,0.9823,0.158622,0.140904,2.98664e-05,0.0,0.140903,1.0,1.0,7.59109e-06,0.0177001,4.90873e-09,0.0,0.0,257.7664723765134,0.0581113030354003,0.0325502633051551,0.0453307831702776,0.0018915382148079,0.0127805198651226,48.33753101529496,3.5397868341255228,-0.14250251590583582,2.9408030779306,-0.3736541063721739,3,3,1,1
109,100.32179538892755,57.045952696119016,11.910729652367367,3.42807e-07,0.00399508,0.999822,1.0,1.0,0.000178386,0.999822,3.43555e-18,0.000178377,0.987432,0.987432,0.999822,0.0164092,0.0123901,4.92321e-07,0.0,0.0123901,1.0,1.0,3.42807e-07,0.000178386,5.3985e-12,0.0,0.0,294.88339593342175,0.087265712326852,0.015797455336495,0.0515315838316735,0.0013785761928908,0.0357341284951785,49.96208753704518,3.8200887532229606,-0.1032570367222443,3.215386453166879,1.646459774088371,3,3,1,1
120,97.27761595183895,62.44786910720903,12.4799221905901,7.86155e-06,0.00376061,0.994896,0.999992,0.999992,0.00510421,0.994896,2.23903e-16,0.00510394,0.841502,0.841502,0.994896,0.161926,0.153394,1.18448e-05,0.0,0.153394,1.0,1.0,7.86155e-06,0.00510421,2.11463e-10,0.0,0.0,246.7596448420562,0.0839678503020112,0.0148630578833323,0.0494154540926717,0.0012480190193777,0.0345523962093394,47.61794984751925,3.5809141616367883,-0.20777027959852146,2.7732008045352727,1.3965440675743452,3,3,1,1
121,29.805160999666164,78.60492410162206,12.949512721009803,4.51145e-07,2.51579e-07,0.988886,1.0,1.0,0.0111136,0.988886,1.16598e-15,0.0111136,0.841652,0.841652,0.988886,0.158348,0.147235,1.85297e-06,0.0,0.147235,1.0,1.0,4.51145e-07,0.0111136,9.89379e-10,0.0,0.0,384.1677029041557,0.0362956488922014,0.002199895539795,0.0192477722159982,7.98466361119192e-05,0.0170478766762032,46.78586296971391,3.5615183038799056,-0.1759818050429389,1.7289729174704944,0.5620353480651448,3,3,1,1
123,74.11853911151731,95.39503666601712,13.037665429266836,3.10617e-07,0.00760254,0.999973,1.0,1.0,2.72172e-05,0.999973,4.21461e-15,2.72148e-05,0.997665,0.997665,0.999973,0.00924889,0.00230812,3.4323e-07,0.0,0.00230812,1.0,1.0,3.10617e-07,2.72172e-05,2.91571e-11,0.0,0.0,343.39566766771026,0.0403971554830472,0.0278138111287138,0.0341054833058805,0.0011235988527427,0.0062916721771666,50.5052774413756,3.8365781094385643,-0.09579584962478845,2.6908221883227723,-0.4525107522921947,3,3,1,1
127,85.54130865357776,78.47102394314432,11.473142995084595,1.26959e-05,1.23663e-06,0.787489,0.999987,0.999987,0.212512,0.787488,1.13681e-12,0.212511,0.147139,0.147138,0.787488,0.852862,0.640351,5.52427e-05,0.0,0.64035,1.0,1.0,1.26959e-05,0.212512,8.64371e-09,0.0,0.0,198.15684402592157,0.0561449692307222,-0.0118124264953364,0.0221662713676929,-0.0006632083221208,0.0339786978630293,45.26365707222757,1.8469531640006551,0.2372820643504272,0.6217796119504445,1.6410571063392718,2,2,0,1
142,94.06649296871744,66.56980664215455,12.517460916263843,1.80521e-05,0.000248492,0.975091,0.999982,0.999982,0.02491,0.97509,7.16328e-15,0.024909,0.153231,0.15323,0.97509,0.846997,0.821861,4.60188e-05,0.0,0.82186,1.0,1.0,1.80521e-05,0.02491,8.98564e-10,0.0,0.0,106.3754432142656,0.0700202006928109,-0.0036866146213008,0.033166793035755,-0.0002581374956605,0.0368534076570558,45.885531706997526,2.463281648435221,-0.717596897726599,0.815754962782916,1.614567643742909,2,2,1,1
