id,x,y,z,AG,AHP6,ANT,AP1,AP2,AP3,AS1,CLV3,CUC1_2_3,ETTIN,FIL,LFY,MP,PHB_PHV,PI,PUCHI,REV,SEP1,SEP2,SEP3,STM,SUP,SVP,WUS,vol,curv1,curv2,mean_curv,gauss_curv,dev_curv,dist_to_center,gene_PC1_value,gene_PC2_value,shape_PC1_value,shape_PC2_value,gene_cluster_gmm,gene_cluster_kmeans,shape_cluster_gmm,shape_cluster_kmeans
69,72.17522172160048,88.02876373616125,10.491137905532357,0.0165455,0.0745608,0.830623,0.921783,0.921783,0.0210887,0.830623,0.00100042,0.0183889,0.836307,0.81653,0.830623,0.881004,0.0539286,0.0210887,0.0,0.0539286,0.938174,0.938174,0.0197777,0.054089,0.0,0.0,0.00107738,410.6276818429597,0.049112815507748,0.037671954751221,0.0433923851294845,0.0018613982849314,0.0057204303782634,48.45498868847962,3.534686940432256,-0.7659016886678842,2.5928486703927582,-1.0888400993823995,2,3,1,1
80,76.78118398191073,81.23233696041719,9.689735230717629,0.0165455,0.0109819,0.865793,0.917649,0.917649,0.021089,0.865793,0.00100042,0.021251,0.871625,0.851847,0.865793,0.922092,0.0536795,0.021089,0.0,0.0536795,0.934041,0.934041,0.0197777,0.0601873,0.0,0.0,0.00107738,211.50819868007017,0.051708444646398,0.0058864572384645,0.0287974509424312,0.0003167928932936,0.0229109937039667,46.00713652687071,3.54974642466812,-0.7846115969020859,0.7947870884313951,0.7879534917540819,2,3,1,1
89,86.42074375678787,66.7456373134915,11.752280459364464,0.0165459,0.00715176,0.74384,0.965087,0.965087,0.0212259,0.74384,0.00100042,0.0319895,0.742822,0.723041,0.74384,0.919175,0.0562452,0.0212259,0.0,0.0562452,0.981479,0.981479,0.0197815,0.235004,0.0,0.0,0.00107738,251.4097453814167,0.067507146044559,-0.0028080716629309,0.032349537190814,-0.00015502549314,0.0351576088537449,43.09363278952168,3.077809571726025,-0.3557697551782402,0.5890022082395044,2.122076316224656,2,3,1,1
103,82.0903066639211,71.97396542128396,11.160288601453257,0.0165459,0.00656894,0.222539,0.910687,0.910687,0.0211532,0.222539,0.00100042,0.0801131,0.223772,0.203991,0.222539,0.866786,0.0537089,0.0211532,0.0,0.0537089,0.927079,0.927079,0.0197816,0.701834,0.0,0.0,0.00107738,152.9794593456978,0.0489676345566421,-0.0138474720962343,0.0175600812302038,-0.000634377282582,0.0314075533264382,42.73067218102448,0.9218987529541606,0.870576779203845,-0.47507029643162957,1.6395911749341177,2,2,1,2
104,92.2339981705006,57.480349977611354,12.311750365532028,0.0165458,0.069323,0.920993,0.968235,0.968235,0.0212323,0.920993,0.00100042,0.0185882,0.916015,0.896234,0.920993,0.969357,0.0616045,0.0212323,0.0,0.0616045,0.984627,0.984627,0.0197807,0.0557665,0.0,0.0,0.00107738,223.8616187114468,0.0619269414500415,0.0130868280678768,0.0375068847589592,0.0008072514519416,0.0244200566910823,45.000669008761314,3.8778792566455524,-0.8555510453964832,1.4974014818757855,0.9178852808872016,3,3,1,1
109,41.25029842366121,91.44996773978144,15.019449226073814,0.0165455,0.17795,0.884788,0.976002,0.976002,0.0211058,0.884788,0.00100042,0.0179598,0.890816,0.871038,0.884788,0.934391,0.0536954,0.0211058,0.0,0.0536954,0.992394,0.992394,0.0197777,0.0533004,0.0,0.0,0.00107738,452.13517314838526,0.0434528668218437,0.0261575004548769,0.0348051836383603,0.0011527131165975,0.0086476831834834,48.08212484930863,3.946810466594795,-0.8864604297280809,1.716668012506223,-0.7499401129672003,3,3,1,0
113,53.887054220374225,95.17078323409564,15.078723023155696,0.0165455,0.193141,0.922415,0.965137,0.965137,0.0210876,0.922415,0.00100042,0.0179334,0.929105,0.909327,0.922415,0.971979,0.0531804,0.0210876,0.0,0.0531804,0.981529,0.981529,0.0197776,0.0532571,0.0,0.0,0.00107738,386.22967728099087,0.0408167637363599,0.0242796163703697,0.0325481900533648,0.0009918736348775,0.0082685736829951,49.17440215952669,4.076865002269761,-1.0071726447762883,1.540844722878917,-0.748775419547279,3,3,1,0
114,90.00656382498555,62.583823775284145,13.70751200288877,0.0165462,0.017567,0.915422,0.973322,0.973322,0.0213526,0.915422,0.00100042,0.0216967,0.907037,0.887254,0.915422,0.975503,0.0638038,0.0213526,0.0,0.0638038,0.989715,0.989715,0.0197837,0.071413,0.0,0.0,0.00107738,183.21886680821763,0.0680086776992405,0.0079397242195097,0.0379742009593751,0.0005328853102171,0.0300344767398654,43.40934478771109,3.7758768154385143,-0.768874804183671,1.3007042111789575,1.519405010982191,3,3,1,1
118,76.82311582294162,84.23553943218803,14.07490727032746,0.0165456,0.0143814,0.924882,0.973788,0.973788,0.0211002,0.924882,0.00100042,0.0236319,0.927945,0.908167,0.924882,0.980908,0.0565676,0.0211002,0.0,0.0565676,0.99018,0.99018,0.0197779,0.0597318,0.0,0.0,0.00107738,182.0805873910408,0.0583037399058759,0.0213064569243404,0.0398050984151082,0.0012473956022193,0.0184986414907677,45.59988910770348,3.8317561511231317,-0.804742093478021,1.90882519999534,0.2505772320371931,3,3,1,1
127,67.5452763247691,92.69387810125944,14.727593264673798,0.0165455,0.70915,0.924475,0.971214,0.971214,0.021088,0.924475,0.00100042,0.0179567,0.930639,0.910861,0.924475,0.974073,0.0536965,0.021088,0.0,0.0536965,0.987605,0.987605,0.0197776,0.0532921,0.0,0.0,0.00107738,273.2400033511494,0.0444131405374225,0.0378352027169337,0.0411241716271781,0.0016847643771762,0.0032889689102444,48.63170310289971,4.820923424980073,-1.5032749510909493,2.396919216617437,-1.3317909699855306,3,3,1,0
